estimator,feature_engineer,loss,accuracy,cost_time,best_iterations,budget
extra_trees,select.boruta,0.139187,0.8608131595282433,12.8205,"[32, 48, 112, 128, 160]",1
logistic_regression,select.boruta,0.139218,0.8607821229050279,6.32856,"[16, 16, 16, 16, 16]",1
logistic_regression,generate.autofeat,0.139224,0.8607759155803848,28.4319,"[64, 16, 32, 32, 32]",1
extra_trees,generate.autofeat,0.140292,0.8597082557417753,10.6091,"[80, 64, 16, 256, 128]",1
lightgbm,generate.autofeat,0.14139,0.8586095592799504,10.7186,"[758, 573, 478, 448, 676]",1
extra_trees,operate.keep_going,0.141397,0.8586033519553073,10.7755,"[176, 192, 80, 96, 96]",1
random_forest,generate.autofeat,0.14144,0.8585599006828056,28.8967,"[112, 64, 304, 160, 96]",1
extra_trees,select.boruta,0.145916,0.8540844196151458,25.7041,"[48, 16, 16, 64, 32]",1
logistic_regression,generate.autofeat,0.146965,0.8530353817504654,17.6897,"[112, 32, 128, 96, 80]",1
tabular_nn,operate.keep_going,0.148088,0.8519118559900685,33.6099,"[113, 128, 101, 99, 128]",1
extra_trees,select.boruta,0.148094,0.8519056486654252,14.0566,"[80, 144, 96, 96, 64]",1
random_forest,generate.autofeat,0.150298,0.8497020484171323,15.5242,"[48, 128, 64, 32, 16]",1
extra_trees,operate.keep_going,0.15031,0.8496896337678461,25.1272,"[16, 128, 176, 64, 32]",1
tabular_nn,select.boruta,0.150379,0.8496213531967722,31.9339,"[54, 60, 64, 44, 72]",1
random_forest,operate.keep_going,0.151421,0.848578522656735,7.45228,"[32, 32, 96, 64, 48]",1
random_forest,select.boruta,0.151453,0.8485474860335197,24.8949,"[112, 16, 80, 96, 16]",1
random_forest,select.boruta,0.152539,0.8474612042209808,11.0124,"[208, 32, 32, 128, 64]",1
tabular_nn,generate.autofeat,0.152564,0.8474363749224085,10.9645,"[52, 35, 32, 44, 10]",1
logistic_regression,operate.keep_going,0.153613,0.8463873370577282,4.81738,"[32, 112, 32, 32, 80]",1
extra_trees,select.boruta,0.153644,0.8463563004345127,12.4773,"[160, 144, 16, 80, 160]",1
random_forest,operate.keep_going,0.15478,0.8452203600248295,26.0224,"[32, 96, 160, 16, 80]",1
random_forest,generate.autofeat,0.158113,0.841887026691496,18.3309,"[112, 48, 224, 80, 160]",1
tabular_nn,operate.keep_going,0.159224,0.8407759155803849,6.33678,"[25, 75, 64, 52, 76]",1
logistic_regression,generate.autofeat,0.15923,0.8407697082557417,44.9935,"[464, 496, 32, 256, 448]",1
random_forest,select.boruta,0.159237,0.8407635009310986,29.8548,"[64, 112, 176, 240, 64]",1
extra_trees,generate.autofeat,0.159292,0.840707635009311,12.3546,"[192, 112, 112, 112, 96]",1
random_forest,select.boruta,0.163669,0.8363314711359404,10.0283,"[80, 64, 48, 32, 32]",1
random_forest,operate.keep_going,0.163693,0.836306641837368,30.361,"[176, 192, 80, 32, 64]",1
extra_trees,operate.keep_going,0.163693,0.836306641837368,26.393,"[112, 96, 32, 16, 192]",1
logistic_regression,select.boruta,0.164786,0.8352141527001862,27.1986,"[32, 16, 16, 16, 32]",1
extra_trees,generate.autofeat,0.167033,0.8329671011793917,18.8876,"[16, 16, 16, 128, 304]",1
random_forest,operate.keep_going,0.167052,0.8329484792054623,11.2687,"[144, 144, 112, 112, 112]",1
random_forest,select.boruta,0.168125,0.8318746120422098,10.613,"[48, 32, 112, 128, 16]",1
random_forest,select.boruta,0.168144,0.8318559900682805,26.6134,"[32, 32, 112, 48, 48]",1
random_forest,generate.autofeat,0.170372,0.8296275605214152,30.371,"[368, 16, 32, 48, 32]",1
extra_trees,generate.autofeat,0.170385,0.8296151458721293,14.3015,"[64, 64, 48, 16, 240]",1
extra_trees,select.boruta,0.172607,0.827392923649907,12.1644,"[80, 144, 80, 48, 80]",1
tabular_nn,operate.keep_going,0.172644,0.8273556797020485,13.2023,"[80, 118, 93, 128, 77]",1
random_forest,select.boruta,0.173712,0.8262880198634388,32.2991,"[208, 176, 128, 32, 320]",1
lightgbm,select.boruta,0.174792,0.8252079453755432,9.0164,"[1559, 1783, 2048, 1920, 2048]",1
extra_trees,select.boruta,0.174829,0.8251707014276846,14.071,"[48, 64, 16, 96, 64]",1
extra_trees,operate.keep_going,0.177052,0.8229484792054625,11.5928,"[256, 32, 112, 16, 208]",1
